Date,AdjClose,LogReturn
23/10/1995,1721.099976,-0.011323696
24/10/1995,1724.199951,0.001799539
25/10/1995,1764.099976,0.022877485
26/10/1995,1754.099976,-0.005684741
27/10/1995,1742.400024,-0.006692404
30/10/1995,1795.300049,0.029908679
31/10/1995,1814,0.010362186
02/11/1995,1828.699951,0.008070954
03/11/1995,1832.099976,0.001857531
06/11/1995,1822.599976,-0.005198797
07/11/1995,1857.400024,0.018913634
08/11/1995,1866.300049,0.004780214
09/11/1995,1852.599976,-0.007367843
10/11/1995,1839.800049,-0.006933148
13/11/1995,1838.199951,-0.000870091
14/11/1995,1838.199951,0
15/11/1995,1875.199951,0.019928489
16/11/1995,1905.099976,0.015819193
17/11/1995,1890.5,-0.007693143
20/11/1995,1881.400024,-0.004825151
21/11/1995,1872.900024,-0.004528149
22/11/1995,1875.5,0.001387246
23/11/1995,1867.099976,-0.004488879
24/11/1995,1891,0.012719378
27/11/1995,1889.800049,-0.00063476
28/11/1995,1870.300049,-0.010372157
29/11/1995,1857.300049,-0.006975025
30/11/1995,1828.300049,-0.015737246
01/12/1995,1820.900024,-0.004055702
04/12/1995,1774.900024,-0.025586801
05/12/1995,1814.900024,0.022286286
06/12/1995,1834.800049,0.010905127
07/12/1995,1846.800049,0.006518928
08/12/1995,1856.300049,0.005130847
11/12/1995,1849.599976,-0.003615899
12/12/1995,1848.900024,-0.000378505
13/12/1995,1833.800049,-0.008200538
14/12/1995,1875,0.022218316
15/12/1995,1859.300049,-0.00840856
18/12/1995,1820.5,-0.02108891
19/12/1995,1810.199951,-0.005673879
20/12/1995,1831.199951,0.011534154
21/12/1995,1834.400024,0.001746003
22/12/1995,1873.400024,0.021037509
26/12/1995,1866.699951,-0.003582835
27/12/1995,1877,0.005502618
28/12/1995,1879.099976,0.001118168
29/12/1995,1872,-0.003785548
02/01/1996,1908.400024,0.019257829
03/01/1996,1943,0.017967963
04/01/1996,1931.199951,-0.006091624
05/01/1996,1917.699951,-0.00701502
08/01/1996,1916.599976,-0.000573756
09/01/1996,1916.300049,-0.000156501
10/01/1996,1910.099976,-0.003240685
11/01/1996,1897.900024,-0.006407559
12/01/1996,1907.599976,0.00509787
15/01/1996,1924.400024,0.008768349
16/01/1996,1952.099976,0.01429146
17/01/1996,1966,0.007095318
18/01/1996,1960.099976,-0.003005542
19/01/1996,1964.300049,0.002140493
22/01/1996,1954.400024,-0.005052719
23/01/1996,1934.099976,-0.010441164
24/01/1996,1946,0.006133894
25/01/1996,1950.199951,0.002155923
26/01/1996,1966.699951,0.00842508
29/01/1996,1980.699951,0.007093307
30/01/1996,2003.099976,0.011245675
31/01/1996,2021,0.00889647
01/02/1996,2024.099976,0.001532707
02/02/1996,2022.199951,-0.000939142
05/02/1996,1985.599976,-0.01826488
06/02/1996,1988.5,0.001459462
07/02/1996,1983.300049,-0.002618437
08/02/1996,1956.199951,-0.013758358
09/02/1996,1960.699951,0.002297737
12/02/1996,1967.699951,0.003563796
13/02/1996,1983.300049,0.007896825
14/02/1996,1956.400024,-0.013656086
15/02/1996,1964.199951,0.003978951
16/02/1996,1952.5,-0.00597441
19/02/1996,1939.699951,-0.006577306
20/02/1996,1932.400024,-0.00377053
21/02/1996,1936.900024,0.002326003
22/02/1996,1953.300049,0.008431505
23/02/1996,1976.900024,0.012009699
26/02/1996,1960.900024,-0.00812641
27/02/1996,1974.5,0.006911638
28/02/1996,1996.900024,0.011280789
29/02/1996,1990.800049,-0.003059398
01/03/1996,2017.199951,0.013173794
04/03/1996,2015.300049,-0.000942295
05/03/1996,2001.900024,-0.00667135
06/03/1996,2005.900024,0.001996108
07/03/1996,2008,0.001046352
08/03/1996,1975.5,-0.016317671
11/03/1996,1948.900024,-0.013556407
12/03/1996,1932.099976,-0.008657642
13/03/1996,1944.300049,0.006294559
14/03/1996,1962.400024,0.009266186
15/03/1996,1950.099976,-0.006287586
18/03/1996,1965,0.007611605
19/03/1996,1967.199951,0.001118942
20/03/1996,1969.800049,0.001320852
21/03/1996,1976.900024,0.003597934
22/03/1996,1974.400024,-0.001265406
25/03/1996,2003.800049,0.014780835
26/03/1996,2008,0.0020938
27/03/1996,2030.5,0.011142866
28/03/1996,2020,-0.005184557
29/03/1996,2044.800049,0.012202498
01/04/1996,2055.600098,0.005267815
02/04/1996,2070.399902,0.007173955
03/04/1996,2064,-0.003095931
04/04/1996,2075,0.005315306
09/04/1996,2081.699951,0.00322369
10/04/1996,2093.899902,0.005843465
11/04/1996,2072.5,-0.010272701
12/04/1996,2074.699951,0.001060933
15/04/1996,2080.600098,0.002839819
16/04/1996,2097.300049,0.007994466
17/04/1996,2075.100098,-0.010641434
18/04/1996,2086,0.005238964
19/04/1996,2092.5,0.003111167
22/04/1996,2116.5,0.011404258
23/04/1996,2112,-0.002128415
24/04/1996,2122.100098,0.004770845
25/04/1996,2116.399902,-0.002689725
26/04/1996,2138.399902,0.010341354
29/04/1996,2130.800049,-0.003560321
30/04/1996,2146.800049,0.007480865
02/05/1996,2136.800049,-0.004668978
03/05/1996,2115.399902,-0.010065532
06/05/1996,2090.399902,-0.011888485
07/05/1996,2083.699951,-0.003210252
09/05/1996,2085.399902,0.0008155
10/05/1996,2114.800049,0.013999632
13/05/1996,2100.899902,-0.006594491
14/05/1996,2122.100098,0.010040433
15/05/1996,2124.600098,0.001177385
17/05/1996,2136.899902,0.00577254
20/05/1996,2120.600098,-0.007657021
21/05/1996,2129.699951,0.004281988
22/05/1996,2103.5,-0.012378478
23/05/1996,2114.5,0.005215754
24/05/1996,2117.699951,0.001512193
28/05/1996,2132.899902,0.007151939
29/05/1996,2117.100098,-0.007435236
30/05/1996,2108.399902,-0.004117954
31/05/1996,2110.100098,0.000806066
03/06/1996,2121.100098,0.005199482
04/06/1996,2111,-0.004773099
05/06/1996,2115.399902,0.002082105
06/06/1996,2133.199951,0.008379303
07/06/1996,2102,-0.014733904
10/06/1996,2120.800049,0.008904127
11/06/1996,2137.5,0.007843523
12/06/1996,2137.300049,-9.35E-05
13/06/1996,2126.199951,-0.005207047
14/06/1996,2111.800049,-0.006795638
17/06/1996,2113,0.000568051
18/06/1996,2107.899902,-0.002416594
19/06/1996,2100.699951,-0.003421546
20/06/1996,2077.100098,-0.011297862
21/06/1996,2084.199951,0.003412328
24/06/1996,2097.600098,0.006408815
25/06/1996,2118.399902,0.00986716
26/06/1996,2113.300049,-0.002410311
27/06/1996,2112.899902,-0.000189365
28/06/1996,2123.699951,0.005098462
01/07/1996,2118.800049,-0.002309914
02/07/1996,2111.800049,-0.003309226
03/07/1996,2114,0.0010412
04/07/1996,2126.800049,0.006036638
05/07/1996,2098.800049,-0.01325275
08/07/1996,2079.100098,-0.009430621
09/07/1996,2076.600098,-0.001203167
10/07/1996,2081.899902,0.002548903
11/07/1996,2073.399902,-0.004091167
12/07/1996,2050.600098,-0.011057244
15/07/1996,2029.5,-0.010343024
16/07/1996,1989.5,-0.019906106
17/07/1996,1995.099976,0.002810811
18/07/1996,2007.300049,0.006096398
19/07/1996,1992.800049,-0.00724985
22/07/1996,1960.300049,-0.016443162
23/07/1996,1982.199951,0.011109767
24/07/1996,1954.099976,-0.014277597
25/07/1996,1974.699951,0.010486746
26/07/1996,1962.900024,-0.005993479
29/07/1996,1961.099976,-0.000917456
30/07/1996,1968.5,0.003766304
31/07/1996,1995.900024,0.013823257
01/08/1996,2009.900024,0.006989893
02/08/1996,2023.400024,0.006694295
05/08/1996,2013.199951,-0.005053805
06/08/1996,1999.300049,-0.006928328
07/08/1996,1996.699951,-0.00130135
08/08/1996,1997.400024,0.000350554
09/08/1996,1985.400024,-0.00602593
12/08/1996,1978.199951,-0.003633102
13/08/1996,1980.599976,0.001212501
14/08/1996,1979.5,-0.000555529
19/08/1996,1986.199951,0.003378953
20/08/1996,2019.300049,0.0165277
21/08/1996,2000.599976,-0.009303818
22/08/1996,2017.800049,0.00856071
23/08/1996,2020.800049,0.001485664
26/08/1996,2020.400024,-0.000197973
27/08/1996,2018,-0.001188602
28/08/1996,2002.900024,-0.007510779
29/08/1996,1977.599976,-0.012712167
30/08/1996,1970.599976,-0.003545923
02/09/1996,1977,0.003242492
03/09/1996,1971.400024,-0.002836582
04/09/1996,1984.800049,0.006774215
05/09/1996,1996.199951,0.005727171
06/09/1996,2004.800049,0.004298981
09/09/1996,2020.300049,0.00770171
10/09/1996,2042.099976,0.010732639
11/09/1996,2038.099976,-0.001960689
12/09/1996,2065.399902,0.013305876
13/09/1996,2080.399902,0.007236271
16/09/1996,2086.199951,0.00278407
17/09/1996,2080.899902,-0.00254376
18/09/1996,2072.699951,-0.003948364
19/09/1996,2082.300049,0.004620994
20/09/1996,2079.5,-0.001345595
23/09/1996,2067.100098,-0.005980774
24/09/1996,2081.5,0.006942082
25/09/1996,2103.399902,0.010466249
26/09/1996,2104.100098,0.000332832
27/09/1996,2107.100098,0.001424772
30/09/1996,2132.800049,0.012123052
01/10/1996,2123.199951,-0.004511332
02/10/1996,2141.800049,0.008722258
03/10/1996,2136.100098,-0.002664838
04/10/1996,2152.699951,0.007741063
07/10/1996,2151.600098,-0.000511049
08/10/1996,2161.5,0.004590628
09/10/1996,2146.699951,-0.006870669
10/10/1996,2135.600098,-0.005184073
11/10/1996,2147.100098,0.005370457
14/10/1996,2143.600098,-0.001631436
15/10/1996,2168.300049,0.011456769
16/10/1996,2158.5,-0.004529937
17/10/1996,2165.300049,0.003145407
18/10/1996,2185.199951,0.009148393
21/10/1996,2180.199951,-0.002290742
22/10/1996,2175.600098,-0.00211206
23/10/1996,2148.899902,-0.012348496
24/10/1996,2151.600098,0.001255759
25/10/1996,2162.399902,0.005006874
28/10/1996,2150.399902,-0.005564845
29/10/1996,2125.699951,-0.011552689
30/10/1996,2124.800049,-0.000423434
31/10/1996,2140.5,0.007361743
04/11/1996,2142.199951,0.000793869
05/11/1996,2187.300049,0.020834613
06/11/1996,2213.399902,0.011861822
07/11/1996,2211.800049,-0.000723065
08/11/1996,2205.199951,-0.0029885
12/11/1996,2229.100098,0.010779775
13/11/1996,2217.199951,-0.005352844
14/11/1996,2218.199951,0.000450918
15/11/1996,2240.300049,0.009913773
18/11/1996,2228.800049,-0.005146461
19/11/1996,2240.100098,0.005057205
20/11/1996,2233.399902,-0.002995507
21/11/1996,2233.600098,8.96E-05
22/11/1996,2255.5,0.009757001
25/11/1996,2277.100098,0.009531069
26/11/1996,2275.100098,-0.000878696
27/11/1996,2270.800049,-0.001891837
28/11/1996,2290.300049,0.008550621
29/11/1996,2315.699951,0.011029162
02/12/1996,2318.600098,0.001251601
03/12/1996,2349.100098,0.01306872
04/12/1996,2308.699951,-0.017347743
05/12/1996,2292.5,-0.007041649
06/12/1996,2240.699951,-0.02285463
09/12/1996,2255.800049,0.006716404
10/12/1996,2251.399902,-0.001952497
11/12/1996,2213.300049,-0.017067565
12/12/1996,2212.100098,-0.000542302
13/12/1996,2203.399902,-0.003940757
16/12/1996,2222.600098,0.008676148
17/12/1996,2193.699951,-0.013088132
18/12/1996,2218.899902,0.01142194
19/12/1996,2248.699951,0.013340716
20/12/1996,2278.5,0.013165082
23/12/1996,2287.399902,0.003898427
24/12/1996,2289.600098,0.000961414
26/12/1996,2303.800049,0.006182782
27/12/1996,2307,0.001388024
30/12/1996,2318.600098,0.005015618
31/12/1996,2315.699951,-0.001251601
02/01/1997,2257,-0.025675499
03/01/1997,2282.800049,0.011366283
06/01/1997,2306.699951,0.010415129
07/01/1997,2301.699951,-0.002169951
08/01/1997,2331.600098,0.01290681
09/01/1997,2349.100098,0.007477549
10/01/1997,2327.5,-0.009237587
13/01/1997,2361.300049,0.014417605
14/01/1997,2402.100098,0.01713106
15/01/1997,2388,-0.0058872
16/01/1997,2407.800049,0.008257292
17/01/1997,2425.100098,0.007159313
20/01/1997,2406.100098,-0.007865581
21/01/1997,2409.899902,0.001577992
22/01/1997,2442.5,0.013436893
23/01/1997,2461.300049,0.007667581
24/01/1997,2430.300049,-0.012674959
27/01/1997,2435.199951,0.002014142
28/01/1997,2482.800049,0.019358107
29/01/1997,2465,-0.007195168
30/01/1997,2503.100098,0.015338195
31/01/1997,2516.600098,0.00537882
03/02/1997,2508.600098,-0.003183955
04/02/1997,2503.100098,-0.002194865
05/02/1997,2541.300049,0.015145778
06/02/1997,2558.399902,0.006706245
07/02/1997,2597.5,0.015167419
10/02/1997,2595.399902,-0.000808834
11/02/1997,2582.100098,-0.005137551
12/02/1997,2599.300049,0.006639138
13/02/1997,2628.399902,0.011133062
14/02/1997,2627.399902,-0.000380532
17/02/1997,2634.5,0.002698684
18/02/1997,2617.5,-0.006473747
19/02/1997,2594.800049,-0.008710203
20/02/1997,2575.199951,-0.007582279
21/02/1997,2562.800049,-0.004826752
24/02/1997,2567.899902,0.001987976
25/02/1997,2607.699951,0.015380182
26/02/1997,2602.199951,-0.002111366
27/02/1997,2629.399902,0.010398424
28/02/1997,2607.800049,-0.008248673
03/03/1997,2600.300049,-0.002880131
04/03/1997,2651.699951,0.019574084
05/03/1997,2666.199951,0.005453294
06/03/1997,2698.899902,0.012190027
07/03/1997,2708.300049,0.003476903
10/03/1997,2709.199951,0.000332221
11/03/1997,2686.199951,-0.008525833
12/03/1997,2641.699951,-0.016704906
13/03/1997,2632.100098,-0.003640587
14/03/1997,2645.600098,0.005115876
17/03/1997,2588.399902,-0.021858033
18/03/1997,2574,-0.005578777
19/03/1997,2596.800049,0.008818827
20/03/1997,2553.699951,-0.016736668
21/03/1997,2587.100098,0.012994326
